ensembl,gene_symbol_x,obs_lof,exp_lof,UNEECON.G,protein_complex,transcript_factor,reactome_nervous_development,reactome_developmental_biology,GO_central_neurvous_development,GO_embryo_development,cpg_density,promoter_phastcons,exonic_phastcons,PPI_degree,gene_expression_level,tissue_specificity_tau,enhancer_number,h3k4me3,h2az,h3k27me3,h3k9ac,Gene ID,Essentiality test,VP,VN,CL,SP,DL,Organismal Essentiality test,gene_symbol_y,DeepLOF_score
ENSG00000003436,TFPI,4,16.222,-0.077609002,1,0,0,0,0,0,0.0,0.0,0.0,-0.697760003,0.792988518,0.109287917,0.3184611,0.549930448,0.455749582,-0.991089544,0.469798305,ENSG00000003436,1,0,0,0,0,0,0,TFPI,0.68940806
ENSG00000003509,NDUFAF7,27,23.494,-0.455053723,0,0,0,0,0,0,0.430048853,-0.911148567,-0.72184113,-0.697760003,0.288392647,-0.624953451,0.857043142,0.591523556,0.284745662,-1.186278445,0.624283417,ENSG00000003509,1,0,0,0,0,0,0,NDUFAF7,0.14916003
ENSG00000003756,RBM5,3,57.458,2.373178931,0,0,0,0,0,0,0.231419978,-0.476551353,1.22123999,-0.086027182,1.609734746,-1.278766836,0.84280821,0.350866978,0.027388085,-1.272441305,0.416796572,ENSG00000003756,1,0,0,0,0,0,0,RBM5,0.93273073
ENSG00000004399,PLXND1,7,83.865,0.811690734,1,0,1,1,0,0,0.0,0.0,0.0,-0.086027182,0.754894626,-0.670648588,0.970213483,0.832439236,0.877098168,0.763292843,1.12539929,ENSG00000004399,1,0,0,0,0,0,0,PLXND1,0.9008861
ENSG00000004455,AK2,8,11.792,-0.109272558,0,0,0,0,0,0,-0.303291643,-0.637891184,1.217646633,-0.697760003,1.328322977,-1.025471105,0.96659451,0.306850384,0.207468109,-0.243997018,0.321349353,ENSG00000004455,1,0,0,0,0,0,0,AK2,0.43709493
ENSG00000004478,FKBP4,6,23.481,0.419360098,0,0,0,0,0,0,2.139435387,-0.949092124,0.55652146,-0.086027182,1.337314014,-0.505083601,0.473897935,0.547914641,0.500459843,0.610918103,0.571079572,ENSG00000004478,1,0,0,0,0,0,0,FKBP4,0.7195672
ENSG00000004487,KDM1A,7,47.658,2.551098892,1,0,0,0,1,0,1.327984044,-0.0244172,0.85478804,2.772253514,0.989298312,-0.766469393,0.773250785,0.54043875,0.558780322,-0.69083855,0.393234356,ENSG00000004487,1,0,0,0,0,1,1,KDM1A,0.8602553
ENSG00000004779,NDUFAB1,1,6.3285,0.060304245,1,0,0,0,0,0,0.866473261,-0.663080605,0.127626124,2.33288774,1.2671971,-0.710935006,0.688213617,0.273187854,0.282601769,-1.447416854,0.428749535,ENSG00000004779,1,0,0,0,0,0,0,NDUFAB1,0.69915456
ENSG00000004897,CDC27,6,43.313,1.229853196,1,0,0,0,0,0,-0.128573426,0.200055609,1.254287464,-0.697760003,0.990407097,-1.124089621,0.77136184,0.361787818,0.579551753,-0.712311794,0.431502741,ENSG00000004897,1,0,0,0,0,0,0,CDC27,0.84678996
ENSG00000004939,SLC4A1,8,41.381,0.491995799,1,0,0,0,0,0,-2.663500685,-0.633108383,-0.272734716,0.722641834,-0.667028524,1.212816668,-1.608553835,-1.385639591,-0.954553319,0.83466192,-0.794741651,ENSG00000004939,1,0,0,0,0,0,0,SLC4A1,0.77243435
ENSG00000004948,CALCR,18,28.778,-0.625008871,0,0,0,0,0,0,-0.571081206,0.654421736,-0.606381409,-0.697760003,-1.583094422,1.068240411,0.056062188,-0.246153225,0.259590073,1.196200066,-0.803382309,ENSG00000004948,1,0,0,0,0,0,0,CALCR,0.3170892
ENSG00000004975,DVL2,14,33.317,-0.156591766,1,0,0,0,0,1,-0.097352413,2.733983755,-0.21047257,-0.697760003,0.709632056,-1.139291041,-0.647729163,0.989502865,0.351048737,-0.837928295,0.99757856,ENSG00000004975,1,0,0,0,0,0,0,DVL2,0.58388394
ENSG00000005007,UPF1,4,56.338,2.525038755,1,0,0,0,0,0,1.214649208,0.608506843,0.803416525,-0.697760003,1.040049916,-0.996127645,0.782575022,0.592707178,0.078566027,0.33465468,0.671477098,ENSG00000005007,1,0,0,0,0,0,0,UPF1,0.92601687
ENSG00000005100,DHX33,14,32.259,-0.225796271,0,0,0,0,0,0,0.209459258,-0.510987522,0.438431386,-0.697760003,0.270893608,-1.000250887,0.629494463,0.461069821,0.554920105,-1.529160747,0.501855657,ENSG00000005100,1,0,0,1,0,1,1,DHX33,0.5214024
ENSG00000005156,LIG3,25,51.191,0.026488036,1,0,0,0,0,0,1.154080444,-1.06515477,0.861081206,-0.697760003,0.518767383,-1.062754208,0.753983785,0.429099968,0.496867916,-1.063160422,0.545179606,ENSG00000005156,1,0,0,0,0,0,0,LIG3,0.5214395
ENSG00000005175,RPAP3,14,37.699,-0.581981921,0,0,0,0,0,0,0.103697041,-1.420995189,0.459835701,-0.697760003,0.773743967,-0.923563397,1.083832449,0.474076774,0.512742238,-0.383639232,0.682375557,ENSG00000005175,1,0,0,1,0,1,1,RPAP3,0.5196979
ENSG00000005194,CIAPIN1,7,15.727,0.093944327,0,0,0,0,0,0,-0.097923602,-1.119997559,0.300288927,0.525702109,0.893119467,-0.97461287,0.828094256,0.405263169,0.172509677,-1.136749529,0.657509406,ENSG00000005194,1,0,0,0,0,0,0,CIAPIN1,0.50843793
ENSG00000005339,CREBBP,3,118.35,2.54188815,1,0,0,1,0,1,2.659332318,1.542428516,0.048814563,-0.697760003,0.82932592,-0.958076735,0.561649254,0.786805271,0.301515866,-0.076630496,0.741225805,ENSG00000005339,1,0,0,0,0,0,0,CREBBP,0.96957284
ENSG00000005483,KMT2E,1,78.607,0.569184686,1,0,0,0,0,0,1.221738716,4.369382957,0.627312021,-0.086027182,1.112636895,-0.913665185,0.953062652,1.282521077,0.590624339,-0.690767854,1.193456201,ENSG00000005483,1,0,0,0,0,0,0,KMT2E,0.972301
ENSG00000005810,MYCBP2,18,232.84,0.0,0,0,0,0,1,0,0.85167048,1.500977571,1.195436678,0.0,0.827756056,-0.79699397,0.659838899,0.797677842,0.850924984,-0.172340985,0.57523156,ENSG00000005810,1,0,0,0,0,0,0,MYCBP2,0.9156226
ENSG00000005884,ITGA3,22,58.851,0.386509321,1,0,0,0,0,1,0.0,0.0,0.0,-0.697760003,0.321787927,-0.362144759,0.110794798,0.741935669,0.567219357,0.725615526,0.850715204,ENSG00000005884,1,0,0,0,0,0,0,ITGA3,0.6364565
ENSG00000006016,CRLF1,10,18.677,-0.499737563,0,0,0,0,0,0,0.851581886,1.275867055,1.013713675,-0.697760003,-0.047162949,0.001970404,-0.041516289,0.478520496,0.17174995,1.514439293,0.205002233,ENSG00000006016,1,0,0,0,0,0,0,CRLF1,0.47372437
ENSG00000006377,DLX6,1,12.54,1.239572747,0,1,0,0,0,1,1.277198887,4.884968941,-1.214844924,-0.697760003,-1.218017706,0.785795564,0.573713196,0.610840053,0.196590896,1.911254401,-0.193303972,ENSG00000006377,1,0,0,0,0,0,0,DLX6,0.92568296
ENSG00000006634,DBF4,4,32.421,0.007375095,1,0,0,0,0,0,0.0,0.0,0.0,-0.086027182,-1.039953459,0.491149322,0.473897935,0.69607664,0.745241872,-1.189933275,0.609710601,ENSG00000006634,1,0,0,1,0,1,1,DBF4,0.82836866
ENSG00000006695,COX10,5,17.216,-0.278855884,0,0,0,0,0,0,-0.709184455,-1.310034198,0.212247259,-0.697760003,0.029716454,-0.546099916,0.63470036,0.428239489,0.329169918,-1.058507698,0.252164532,ENSG00000006695,1,0,0,0,0,0,0,COX10,0.53270984
ENSG00000006704,GTF2IRD1,10,51.531,0.573574792,0,0,0,0,0,0,0.0,0.0,0.0,0.271811812,0.116322425,-0.170009804,0.573713196,0.46616621,0.532164722,0.211740976,0.629862781,ENSG00000006704,1,0,0,0,0,0,0,GTF2IRD1,0.7856647
ENSG00000006712,PAF1,12,31.245,1.73462403,1,0,0,0,0,1,-0.328016427,1.18403727,0.895195085,-0.086027182,1.443296273,-1.237190293,0.710529181,0.515954766,0.162006482,-1.478692286,0.649623023,ENSG00000006712,1,0,0,1,0,1,1,PAF1,0.68842113
ENSG00000006744,ELAC2,36,45.465,-0.42611686,0,0,0,0,0,0,0.487352188,-0.353792785,0.096768022,-0.697760003,1.073412261,-1.109914152,-0.006514401,0.321534661,0.446612352,0.082562402,0.452268756,ENSG00000006744,1,0,0,1,0,1,1,ELAC2,0.26551497
ENSG00000007168,PAFAH1B1,0,27.88,3.02838101,0,0,0,0,1,1,1.528246199,3.161885047,0.559386286,-0.697760003,1.195455432,-0.985153566,0.818002496,0.656145471,0.383968711,-0.065698338,0.578450193,ENSG00000007168,1,0,0,0,0,0,0,PAFAH1B1,0.98080724
ENSG00000007202,KIAA0100,38,118.23,0.236684733,0,0,0,0,0,0,0.168048706,0.413687402,1.173535242,-0.697760003,1.159414438,-1.096605094,0.60802806,0.479100505,0.452414709,-1.175613225,0.564488392,ENSG00000007202,1,0,0,0,0,1,1,KIAA0100,0.677034
ENSG00000007314,SCN4A,19,73.739,0.578401951,0,0,1,1,0,0,-2.25636901,0.843182962,-0.480414546,-0.697760003,-1.385607779,1.991447389,-1.608553835,-0.845884077,-0.174762012,0.877782497,-0.231568251,ENSG00000007314,1,0,0,0,0,1,1,SCN4A,0.7278082
ENSG00000007372,PAX6,1,28.127,2.948687218,1,1,0,1,1,1,1.087017167,0.64549384,0.984718792,3.339623489,-0.35054183,0.65871152,0.596886307,1.05391592,1.080726041,1.944139264,0.565116985,ENSG00000007372,1,0,0,0,0,1,1,PAX6,0.9527966
ENSG00000007402,CACNA2D2,10,73.966,0.990654405,0,0,0,0,0,0,0.0,0.0,0.0,-0.697760003,-0.587843726,0.603495337,0.721273951,0.229622139,-0.826706057,1.399001463,0.095270341,ENSG00000007402,1,0,0,0,0,0,0,CACNA2D2,0.8468281
ENSG00000007923,DNAJC11,4,37.463,1.348953568,1,0,0,0,0,0,0.332187735,0.105674996,0.816880662,0.525702109,0.808511505,-0.984651726,0.804173988,0.226353081,0.281681249,0.425548989,0.344910675,ENSG00000007923,1,0,0,0,0,0,0,DNAJC11,0.87199205
ENSG00000008018,PSMB1,0,10.845,0.756184925,1,0,1,1,0,0,0.0,0.0,0.0,3.273520933,2.078333536,-1.254564917,0.950556684,0.72920564,0.46612416,-1.196883879,0.721520618,ENSG00000008018,1,0,0,0,0,0,0,PSMB1,0.9261894
ENSG00000008083,JARID2,5,55.923,0.892102076,0,0,0,0,1,0,2.738691759,6.372739008,1.050342505,-0.697760003,0.294156132,-0.471682559,1.010360021,0.9952522,1.027257003,-0.680466195,0.969016049,ENSG00000008083,1,0,0,0,0,0,0,JARID2,0.9130049
ENSG00000008130,NADK,20,29.244,0.614886143,0,0,0,0,0,0,0.0,0.0,0.0,0.722641834,0.854849926,-0.615941432,0.695028667,0.618653378,0.471696457,-0.626348749,0.763920496,ENSG00000008130,1,0,0,0,0,1,1,NADK,0.41602135
ENSG00000008196,TFAP2B,1,18.309,1.372861053,0,1,0,0,0,0,1.298700996,1.47004879,1.196569347,-0.697760003,-1.043191989,1.697676107,-0.167316827,0.287463802,0.209779056,1.733113018,-0.271484266,ENSG00000008196,1,0,0,0,0,1,1,TFAP2B,0.8955022
ENSG00000008277,ADAM22,14,60.358,0.965840197,1,0,0,1,1,0,0.0,0.0,0.0,-0.697760003,-0.236457758,0.095949974,0.373507292,0.224063917,0.392153976,0.524901832,0.007071791,ENSG00000008277,1,0,0,0,0,0,0,ADAM22,0.76164603
ENSG00000008300,CELSR3,21,123.37,0.814743586,0,0,0,0,0,0,0.0,0.0,0.0,-0.697760003,-1.045892594,0.515473649,0.442926399,0.517314266,0.3614104,0.841689737,0.215917488,ENSG00000008300,1,0,0,0,0,0,0,CELSR3,0.8212938
ENSG00000008441,NFIX,0,20.103,3.175354965,0,1,0,0,0,0,0.0,0.0,0.0,0.271811812,1.000023884,-0.282496419,0.944228207,1.184816421,0.545264073,1.553412811,1.498639371,ENSG00000008441,1,0,0,0,0,0,0,NFIX,0.96590793
ENSG00000008710,PKD1,18,149.37,-0.620625288,1,0,0,0,1,1,0.0,0.0,0.0,-0.697760003,-0.603772902,0.406753235,-1.608553835,0.144003561,-0.158107858,-0.755555387,0.075574002,ENSG00000008710,1,0,0,0,0,1,1,PKD1,0.86226165
ENSG00000008838,MED24,26,51.681,0.552093933,1,0,0,1,0,0,-1.284345258,-0.169814361,0.671767833,-0.697760003,1.059173709,-1.079554862,0.761792745,0.352059337,0.685141035,0.265914168,0.614577729,ENSG00000008838,1,0,0,0,0,0,0,MED24,0.5325748
ENSG00000008952,SEC62,2,21.211,0.504826911,0,0,0,0,0,0,0.22415482,-0.771171915,0.871198567,-0.697760003,1.447896083,-1.142675825,0.6107697,0.518037807,0.35555219,0.671665663,0.5156087,ENSG00000008952,1,0,0,1,0,1,1,SEC62,0.8151108
ENSG00000008988,RPS20,4,9.0639,0.986518704,1,0,1,1,0,0,1.320581606,-0.144306087,-0.188318472,-0.697760003,2.911217523,-1.165205692,0.488598148,0.360566143,0.531988483,-0.661197873,0.408003715,ENSG00000008988,1,0,0,1,0,1,1,RPS20,0.714711
ENSG00000009307,CSDE1,2,43.828,1.67101642,1,0,0,0,0,0,0.0,0.0,0.0,-0.086027182,1.91707671,-0.738780361,0.710529181,0.734431965,0.421892901,-0.945296115,0.692358717,ENSG00000009307,1,0,0,0,0,0,0,CSDE1,0.9306105
ENSG00000009413,REV3L,9,134.52,0.448199113,0,0,0,0,0,0,2.647041504,1.594082771,0.536905284,-0.697760003,0.2748018,-0.690960915,1.040018174,0.736711197,0.72542892,0.014282191,0.756398901,ENSG00000009413,1,0,0,1,0,1,1,REV3L,0.922923
ENSG00000009709,PAX7,5,18.849,0.209567839,0,1,0,0,1,1,1.206599865,1.075627106,0.26243307,1.01959146,-1.722386331,1.689656905,0.564696584,0.021752613,-0.769156085,2.051291681,-0.439615007,ENSG00000009709,1,0,0,0,0,0,0,PAX7,0.775574
ENSG00000009954,BAZ1B,3,70.985,1.72202123,1,0,0,0,0,0,1.630005991,0.494676171,0.708212451,-0.697760003,1.070733613,-1.088892941,0.956794881,0.536681539,0.251509184,-1.146560002,0.5597027,ENSG00000009954,1,0,0,0,0,0,0,BAZ1B,0.9448609
ENSG00000010017,RANBP9,1,36.537,0.329555364,1,0,1,1,0,0,2.579716226,1.298824502,1.094325645,-0.697760003,0.668123984,-0.663414818,0.558580538,0.704524023,0.649567859,-1.017187754,0.672046707,ENSG00000010017,1,0,0,0,0,0,0,RANBP9,0.94096506
ENSG00000010072,SPRTN,1,15.6,0.025105121,0,0,0,0,0,0,1.385374308,4.306568833,-1.060091784,-0.697760003,0.198504234,-0.951026852,0.671886222,0.871802772,0.544991474,-0.888967524,0.826360362,ENSG00000010072,1,0,0,0,0,0,0,SPRTN,0.87540925
ENSG00000010244,ZNF207,7,26.675,1.446970995,1,0,0,0,0,0,0.76586057,-0.5973968,1.140409156,-0.697760003,1.719515416,-1.105078314,0.998135103,0.806863792,0.045620802,-1.255577636,0.666020077,ENSG00000010244,1,0,0,1,0,1,1,ZNF207,0.7689103
ENSG00000010256,UQCRC1,8,26.424,-0.449606861,0,0,0,0,0,0,0.501076531,-0.394924877,0.33927773,-0.697760003,1.007060825,-0.352948146,0.63984501,0.209709132,-0.028096803,-0.707298712,0.283682848,ENSG00000010256,1,0,0,1,0,1,1,UQCRC1,0.61134875
ENSG00000010292,NCAPD2,34,77.788,-0.382248419,1,0,0,0,0,0,0.371831622,0.225882736,-0.370039061,-0.697760003,0.41842785,-0.370773779,0.769464699,0.527087642,0.325700814,-0.845423092,0.497792666,ENSG00000010292,1,0,0,0,0,0,0,NCAPD2,0.55044556
ENSG00000010361,FUZ,11,20.009,-0.57543264,0,0,0,0,0,1,0.0,0.0,0.0,-0.086027182,0.035600698,0.067249784,0.9808941,0.38194918,0.342648767,-0.970652062,0.438962941,ENSG00000010361,1,0,0,0,0,1,1,FUZ,0.4115621
ENSG00000011007,TCEB3,1,39.956,0.352999703,0,0,0,0,0,0,1.262163924,-0.552119614,-0.359532365,2.464854565,0.818468612,-1.029663115,0.915240538,0.47928523,0.525593256,-1.13178717,0.580401583,ENSG00000011007,1,0,0,0,0,1,1,TCEB3,0.9332051
ENSG00000011052,NME2,13,14.098,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.61595621,-0.879559291,0.897162377,0.318547194,0.628068336,-2.164325521,0.367720792,ENSG00000011052,1,0,0,0,0,0,0,NME2,0.307454
ENSG00000011143,MKS1,29,37.943,-0.256533534,1,0,0,0,0,1,0.608818011,-0.524379366,0.558473758,-0.697760003,0.507635623,-1.125928827,0.748034168,0.055858782,0.379087975,0.969899512,-0.040623838,ENSG00000011143,1,0,0,0,0,0,0,MKS1,0.32982135
ENSG00000011198,ABHD5,13,21.051,0.442086886,0,0,0,0,0,0,1.366365913,-1.209914224,0.814515511,1.946103946,0.435279183,-0.400286397,0.942951446,0.519726003,0.553915443,-0.411461873,0.454667476,ENSG00000011198,1,0,0,0,0,0,0,ABHD5,0.49447858
ENSG00000011243,AKAP8L,10,36.241,0.117277771,1,0,0,0,0,0,-0.341226523,-1.38751558,-0.44359816,2.772253514,0.915866022,-0.852583506,1.032790073,0.550293263,0.118227878,-0.736437953,0.559277356,ENSG00000011243,1,1,0,0,0,1,1,AKAP8L,0.67449665
ENSG00000011258,MBTD1,0,38.61,2.326635983,0,0,0,0,0,1,1.291999185,2.188744403,0.827066673,-0.697760003,0.260563247,-0.664597517,0.255474102,0.737616018,0.588099485,-0.997863649,0.764297103,ENSG00000011258,1,0,0,0,0,0,0,MBTD1,0.9736743
ENSG00000011260,UTP18,9,25.04,-0.685531012,0,0,0,0,0,0,1.402638162,2.161960716,-0.254196006,-0.697760003,0.883908869,-1.069442125,0.255474102,0.734359122,0.588099485,-1.04556281,0.752130854,ENSG00000011260,1,0,0,0,0,0,0,UTP18,0.5910384
ENSG00000011376,LARS2,34,52.791,-0.289508251,0,0,0,0,0,0,-0.544246534,-1.120635265,0.245768382,-0.697760003,0.377852915,-1.102320109,0.506304621,0.158692207,0.649589692,0.257348999,0.060485475,ENSG00000011376,1,0,0,0,0,0,0,LARS2,0.35517323
ENSG00000011426,ANLN,14,58.485,-0.768545106,0,0,0,0,0,0,0.0,0.0,0.0,-0.697760003,-0.041717828,0.368252235,1.055115997,0.540728609,0.949730305,-0.907070605,0.486866152,ENSG00000011426,1,0,0,0,0,0,0,ANLN,0.6976551
ENSG00000011485,PPP5C,2,30.098,1.838629744,0,0,0,0,0,0,-0.397329357,-0.139842139,0.363031709,-0.697760003,1.030850296,-1.042111228,0.706156243,0.561873938,0.312235548,0.25102595,0.716173617,ENSG00000011485,1,0,0,0,0,0,0,PPP5C,0.9035528
ENSG00000012048,BRCA1,55,75.229,-0.511798938,1,0,0,0,0,1,0.0,0.0,0.0,-0.697760003,-0.011736727,-0.90639,-1.608553835,0.351506415,0.289152023,-1.522706057,0.290824119,ENSG00000012048,1,0,0,0,0,0,0,BRCA1,0.28277665
ENSG00000012061,ERCC1,12,14.996,0.104466229,1,0,0,0,0,1,-0.580702316,-0.756185804,0.427519969,0.271811812,1.336512615,-1.06735555,1.057090222,0.241887988,0.47807854,0.641548906,0.560903563,ENSG00000012061,1,0,0,0,0,0,0,ERCC1,0.39968824
ENSG00000012232,EXTL3,13,30.543,1.335626695,0,0,0,0,0,0,1.330828398,-0.495363705,1.093828419,-0.086027182,0.434862017,-0.79214936,0.526647366,0.571647226,0.83087952,0.538383824,0.795976243,ENSG00000012232,1,0,0,0,0,1,1,EXTL3,0.66845477
ENSG00000012660,ELOVL5,3,21.839,0.878572984,0,0,0,0,0,0,2.067828744,-0.363996095,-0.583372206,1.692213649,1.232660101,-0.762897709,0.863224025,0.581024411,0.514608777,0.3523205,0.441087086,ENSG00000012660,1,0,0,0,0,0,0,ELOVL5,0.8345807
ENSG00000013275,PSMC4,5,21.345,3.028178791,1,0,1,1,0,1,-0.5636009,-0.177785696,0.764878438,0.271811812,1.327137346,-1.106613046,0.769464699,0.457930247,0.521242522,0.025522362,0.481432734,ENSG00000013275,1,0,0,0,0,0,0,PSMC4,0.8411267
ENSG00000013375,PGM3,14,33.518,0.511708874,0,0,0,0,0,0,0.955882916,0.125762762,0.19329478,-0.697760003,0.614880359,-0.797996527,0.470144348,0.514906425,0.376917891,-0.859493239,0.459969687,ENSG00000013375,1,0,0,0,0,1,1,PGM3,0.604454
ENSG00000013441,CLK1,15,30.028,-0.248327363,0,0,0,0,0,0,1.655616919,-1.143273858,0.652465157,1.692213649,1.473793343,-0.92591056,0.780726012,0.767861891,0.154000501,-0.775081873,0.716116235,ENSG00000013441,1,0,1,0,0,1,1,CLK1,0.5022485
ENSG00000013503,POLR3B,47,69.025,1.784089366,0,0,0,0,0,0,0.89784895,0.0,0.99424108,-0.697760003,0.197285669,-0.930932635,0.775131606,0.25507663,0.271193484,-0.117215532,0.469953944,ENSG00000013503,1,0,0,1,0,1,1,POLR3B,0.46443307
ENSG00000013573,DDX11,40,54.19,-0.770626003,1,0,0,0,0,0,-0.313516541,-1.477432245,0.008628979,-0.697760003,0.105366314,-0.624669646,0.657389088,0.311158831,0.440459425,-1.766193668,0.288096997,ENSG00000013573,1,0,0,0,0,0,0,DDX11,0.24719667
ENSG00000013810,TACC3,17,36.079,-0.921585627,1,0,0,0,1,0,0.0,0.0,0.0,1.853119096,0.077866256,0.132135732,0.757905696,0.782257141,0.521994728,-0.990863168,0.975450312,ENSG00000013810,1,0,0,0,0,0,0,TACC3,0.47326982
ENSG00000014138,POLA2,17,39.208,-0.457617336,1,0,0,0,0,0,0.798221527,-1.028167773,0.094967549,-0.697760003,0.200249747,-0.690354351,-1.608553835,0.313614177,0.614898799,-0.586969435,0.249277472,ENSG00000014138,1,0,0,1,0,1,1,POLA2,0.5203719
ENSG00000014164,ZC3H3,7,32.095,-0.451133287,0,0,0,0,0,0,0.0,0.0,0.0,-0.697760003,0.29047848,-0.868713691,-1.608553835,0.578887182,0.17089198,0.08187254,0.729661999,ENSG00000014164,1,0,0,0,0,0,0,ZC3H3,0.69127965
ENSG00000014641,MDH1,2,17.191,0.385374287,0,0,0,0,0,0,0.434201924,-0.256542491,1.175861219,-0.697760003,1.431220399,-0.625387093,-0.079565508,0.641940541,0.616241174,-1.169322288,0.679154886,ENSG00000014641,1,0,0,0,0,1,1,MDH1,0.81035197
ENSG00000014824,SLC30A9,17,37.534,0.248152498,0,0,0,0,0,0,0.711394771,-0.714416006,0.931652707,-0.697760003,0.791978536,-1.021862471,0.552377737,0.397354283,0.314074287,-0.776067096,0.379709429,ENSG00000014824,1,0,0,0,0,1,1,SLC30A9,0.56300616
ENSG00000014919,COX15,21,22.795,-0.558994205,1,0,0,0,0,0,0.242824198,-0.885002586,0.03964361,-0.697760003,0.856672285,-1.23568435,0.576677886,0.477798239,0.263644592,-1.357174713,0.530655756,ENSG00000014919,1,0,0,1,0,1,1,COX15,0.22509652
ENSG00000015153,YAF2,1,9.5956,0.589478325,1,0,0,0,0,0,2.66532684,0.453225226,-0.164908352,1.989163275,0.475854119,-0.754500178,0.767559293,0.509123494,0.549662723,0.340243025,0.469302835,ENSG00000015153,1,0,0,0,0,0,0,YAF2,0.8416009
ENSG00000015479,MATR3,0,37.522,1.453474614,1,0,0,0,0,0,2.477979808,0.677698036,1.174258147,1.334377303,1.833445796,-1.140361044,0.98206489,0.898308815,0.767234639,-0.318141337,0.848203398,ENSG00000015479,1,0,0,0,0,0,0,MATR3,0.9630357
ENSG00000015676,NUDCD3,4,18.63,-0.015338647,1,0,0,0,0,0,0.420388852,-0.554032734,0.317140513,-0.697760003,0.10669466,-0.759889229,0.719146014,0.426013051,0.531875166,0.645492275,0.334231571,ENSG00000015676,1,0,0,0,0,0,0,NUDCD3,0.72100925
ENSG00000016082,ISL1,2,15.42,2.265304967,0,1,1,1,1,1,0.0,0.0,0.0,0.271811812,-0.984261726,1.14158615,0.438896047,0.507159132,0.222411412,1.61694247,0.101079563,ENSG00000016082,1,0,0,0,0,0,0,ISL1,0.9124668
ENSG00000017260,ATP2C1,5,57.657,1.224027989,0,0,0,0,0,0,0.0,0.0,0.0,-0.697760003,1.083040026,-1.021869546,0.6107697,0.632058646,0.738752371,0.377494901,0.63976203,ENSG00000017260,1,0,0,0,0,0,0,ATP2C1,0.89031947
