ensembl,gene_symbol,DeepLOF_score
ENSG00000009724,MASP2,0.13901973
ENSG00000009765,IYD,0.33703172
ENSG00000009780,FAM76A,0.5567487
ENSG00000009790,TRAF3IP3,0.31929898
ENSG00000009830,POMT2,0.42813486
ENSG00000009844,VTA1,0.40222687
ENSG00000009950,MLXIPL,0.71290326
ENSG00000009954,BAZ1B,0.9448609
ENSG00000010017,RANBP9,0.94096506
ENSG00000010030,ETV7,0.23738581
ENSG00000010072,SPRTN,0.87540925
ENSG00000010165,METTL13,0.42292464
ENSG00000010219,DYRK4,0.11846888
ENSG00000010244,ZNF207,0.7689103
ENSG00000010256,UQCRC1,0.61134875
ENSG00000010270,STARD3NL,0.6187092
ENSG00000010278,CD9,0.5776725
ENSG00000010282,HHATL,0.31129074
ENSG00000010292,NCAPD2,0.55044556
ENSG00000010295,IFFO1,0.5768839
ENSG00000010310,GIPR,0.06532836
ENSG00000010318,PHF7,0.5639378
ENSG00000010319,SEMA3G,0.19913828
ENSG00000010322,NISCH,0.8081265
ENSG00000010327,STAB1,0.3217072
ENSG00000010361,FUZ,0.4115621
ENSG00000010379,SLC6A13,0.23366857
ENSG00000010404,IDS,0.92459023
ENSG00000010438,PRSS3,0.09275657
ENSG00000010539,ZNF200,0.29698706
ENSG00000010610,CD4,0.5450498
ENSG00000010626,LRRC23,0.2349993
ENSG00000010671,BTK,0.9685601
ENSG00000010704,HFE,0.30893147
ENSG00000010803,SCMH1,0.6238849
ENSG00000010810,FYN,0.922048
ENSG00000010818,HIVEP2,0.9587028
ENSG00000010932,FMO1,0.19670439
ENSG00000011007,TCEB3,0.9332051
ENSG00000011009,LYPLA2,0.8756405
ENSG00000011021,CLCN6,0.5695393
ENSG00000011028,MRC2,0.7685088
ENSG00000011052,NME2,0.307454
ENSG00000011083,SLC6A7,0.29268086
ENSG00000011105,TSPAN9,0.7770024
ENSG00000011114,BTBD7,0.6593341
ENSG00000011132,APBA3,0.2561676
ENSG00000011143,MKS1,0.32982135
ENSG00000011198,ABHD5,0.49447858
ENSG00000011201,KAL1,0.85311735
ENSG00000011243,AKAP8L,0.67449665
ENSG00000011258,MBTD1,0.9736743
ENSG00000011260,UTP18,0.5910384
ENSG00000011275,RNF216,0.60326517
ENSG00000011295,TTC19,0.3224635
ENSG00000011304,PTBP1,0.92851865
ENSG00000011332,DPF1,0.87196964
ENSG00000011347,SYT7,0.8467618
ENSG00000011376,LARS2,0.35517323
ENSG00000011405,PIK3C2A,0.73332596
ENSG00000011422,PLAUR,0.4216854
ENSG00000011426,ANLN,0.6976551
ENSG00000011451,WIZ,0.88702875
ENSG00000011454,RABGAP1,0.94866085
ENSG00000011465,DCN,0.7265408
ENSG00000011478,QPCTL,0.26447248
ENSG00000011485,PPP5C,0.9035528
ENSG00000011523,CEP68,0.6045557
ENSG00000011566,MAP4K3,0.76832426
ENSG00000011590,ZBTB32,0.5333344
ENSG00000011600,TYROBP,0.5937591
ENSG00000011638,TMEM159,0.23958695
ENSG00000011677,GABRA3,0.7319773
ENSG00000012048,BRCA1,0.28277665
ENSG00000012061,ERCC1,0.39968824
ENSG00000012124,CD22,0.7509483
ENSG00000012174,MBTPS2,0.94394064
ENSG00000012211,PRICKLE3,0.57721364
ENSG00000012223,LTF,0.15955555
ENSG00000012232,EXTL3,0.66845477
ENSG00000012504,NR1H4,0.6547158
ENSG00000012660,ELOVL5,0.8345807
ENSG00000012779,ALOX5,0.56134343
ENSG00000012817,KDM5D,0.78432786
ENSG00000012822,CALCOCO1,0.5559172
ENSG00000012963,UBR7,0.7484408
ENSG00000012983,MAP4K5,0.8243469
ENSG00000013016,EHD3,0.73523015
ENSG00000013275,PSMC4,0.8411267
ENSG00000013288,MAN2B2,0.18703789
ENSG00000013293,SLC7A14,0.56113195
ENSG00000013297,CLDN11,0.865813
ENSG00000013306,SLC25A39,0.2691878
ENSG00000013364,MVP,0.48318672
ENSG00000013374,NUB1,0.5885073
ENSG00000013375,PGM3,0.604454
ENSG00000013392,RWDD2A,0.30179608
ENSG00000013441,CLK1,0.5022485
ENSG00000013503,POLR3B,0.46443307
ENSG00000013523,ANGEL1,0.46480256
ENSG00000013561,RNF14,0.5928685
ENSG00000013563,DNASE1L1,0.6018882
ENSG00000013573,DDX11,0.24719667
ENSG00000013583,HEBP1,0.27933168
ENSG00000013588,GPRC5A,0.2008807
ENSG00000013619,MAMLD1,0.7250706
ENSG00000013725,CD6,0.56356263
ENSG00000013810,TACC3,0.47326982
ENSG00000014123,UFL1,0.33501828
ENSG00000014138,POLA2,0.5203719
ENSG00000014164,ZC3H3,0.69127965
ENSG00000014216,CAPN1,0.49507868
ENSG00000014257,ACPP,0.09970522
ENSG00000014641,MDH1,0.81035197
ENSG00000014824,SLC30A9,0.56300616
ENSG00000014914,MTMR11,0.19319218
ENSG00000014919,COX15,0.22509652
ENSG00000015133,CCDC88C,0.64451736
ENSG00000015153,YAF2,0.8416009
ENSG00000015171,ZMYND11,0.95297325
ENSG00000015285,WAS,0.94157404
ENSG00000015413,DPEP1,0.20848578
ENSG00000015475,BID,0.13759422
ENSG00000015479,MATR3,0.9630357
ENSG00000015520,NPC1L1,0.2642995
ENSG00000015532,XYLT2,0.7942629
ENSG00000015592,STMN4,0.6923068
ENSG00000015676,NUDCD3,0.72100925
ENSG00000016082,ISL1,0.9124668
ENSG00000016391,CHDH,0.38226599
ENSG00000016402,IL20RA,0.4872216
ENSG00000016490,CLCA1,0.43379074
ENSG00000016602,CLCA4,0.19279349
ENSG00000016864,GLT8D1,0.34486198
ENSG00000017260,ATP2C1,0.89031947
ENSG00000017373,NA,0.85621107
ENSG00000017427,IGF1,0.760446
ENSG00000017483,SLC38A5,0.88963616
ENSG00000017621,NA,0.1411503
ENSG00000017797,RALBP1,0.7406126
ENSG00000018189,RUFY3,0.73452
ENSG00000018236,CNTN1,0.76201916
ENSG00000018280,SLC11A1,0.09780413
ENSG00000018408,WWTR1,0.84528697
ENSG00000018510,AGPS,0.95056593
ENSG00000018610,CXorf56,0.9531258
ENSG00000018625,ATP1A2,0.73248285
ENSG00000018699,TTC27,0.33528733
ENSG00000018869,ZNF582,0.15546805
ENSG00000019102,VSIG2,0.2484318
ENSG00000019144,PHLDB1,0.7376803
ENSG00000019169,MARCO,0.1289888
ENSG00000019186,CYP24A1,0.07744706
ENSG00000019485,PRDM11,0.8101809
ENSG00000019505,SYT13,0.5000064
ENSG00000019549,SNAI2,0.88051516
ENSG00000019582,CD74,0.694481
ENSG00000019991,HGF,0.84342134
ENSG00000019995,ZRANB1,0.88059074
ENSG00000020129,NCDN,0.9496644
ENSG00000020181,GPR124,0.54907274
ENSG00000020256,ZFP64,0.6444821
ENSG00000020426,MNAT1,0.29868984
ENSG00000020577,SAMD4A,0.89568317
ENSG00000020633,RUNX3,0.8748084
ENSG00000020922,MRE11A,0.37038207
ENSG00000021300,PLEKHB1,0.38214982
ENSG00000021355,SERPINB1,0.28196847
ENSG00000021461,CYP3A43,0.15734833
ENSG00000021488,SLC7A9,0.27579594
ENSG00000021574,SPAST,0.893911
ENSG00000021645,NRXN3,0.9278762
ENSG00000021762,OSBPL5,0.5623601
ENSG00000021776,AQR,0.8577832
ENSG00000021826,CPS1,0.6095547
ENSG00000021852,C8B,0.12092996
ENSG00000022267,FHL1,0.8839661
ENSG00000022277,RTFDC1,0.5483175
ENSG00000022355,GABRA1,0.8878668
ENSG00000022556,NLRP2,0.06717813
ENSG00000022567,SLC45A4,0.5403559
ENSG00000022840,RNF10,0.74021816
ENSG00000022976,ZNF839,0.45303524
ENSG00000023041,ZDHHC6,0.44780815
ENSG00000023171,GRAMD1B,0.868057
ENSG00000023191,RNH1,0.2852888
ENSG00000023228,NDUFS1,0.44280082
ENSG00000023287,RB1CC1,0.9186785
ENSG00000023318,ERP44,0.87428
ENSG00000023330,ALAS1,0.68011487
ENSG00000023445,BIRC3,0.66701686
ENSG00000023516,AKAP11,0.74700093
ENSG00000023572,GLRX2,0.2643075
ENSG00000023608,SNAPC1,0.15196216
ENSG00000023697,DERA,0.333578
ENSG00000023734,STRAP,0.8212897
ENSG00000023839,ABCC2,0.09197253
ENSG00000023892,DEF6,0.855341
ENSG00000023902,PLEKHO1,0.7068459
ENSG00000023909,GCLM,0.8885857
ENSG00000024048,UBR2,0.84280574
ENSG00000024422,EHD2,0.7339464
ENSG00000024526,DEPDC1,0.36708808
ENSG00000024862,CCDC28A,0.20423341
ENSG00000025039,RRAGD,0.83746624
ENSG00000025156,HSF2,0.8462145
ENSG00000025293,PHF20,0.8455154
ENSG00000025423,HSD17B6,0.52774775
ENSG00000025434,NR1H3,0.7931139
ENSG00000025708,TYMP,0.37976885
ENSG00000025770,NCAPH2,0.6170461
ENSG00000025772,TOMM34,0.61255944
ENSG00000025796,SEC63,0.6575741
ENSG00000025800,KPNA6,0.8939198
ENSG00000026025,VIM,0.8246047
ENSG00000026103,FAS,0.78898203
ENSG00000026297,RNASET2,0.47499204
ENSG00000026508,CD44,0.5342907
ENSG00000026559,KCNG1,0.7843058
ENSG00000026652,AGPAT4,0.7149246
ENSG00000026751,SLAMF7,0.5956775
ENSG00000026950,BTN3A1,0.23992395
ENSG00000027001,MIPEP,0.21784896
ENSG00000027075,PRKCH,0.76959443
ENSG00000027644,INSRR,0.22540116
ENSG00000027697,IFNGR1,0.53491634
ENSG00000027847,B4GALT7,0.30354112
ENSG00000027869,SH2D2A,0.26842397
ENSG00000028116,VRK2,0.23376036
ENSG00000028137,TNFRSF1B,0.67422783
ENSG00000028203,VEZT,0.7098194
ENSG00000028277,POU2F2,0.8993884
ENSG00000028310,BRD9,0.6515105
ENSG00000028528,SNX1,0.80161405
ENSG00000028839,TBPL1,0.8708467
ENSG00000029153,ARNTL2,0.3615722
ENSG00000029363,BCLAF1,0.3083247
ENSG00000029364,SLC39A9,0.81827295
ENSG00000029534,ANK1,0.8832002
ENSG00000029559,IBSP,0.09402168
ENSG00000029639,TFB1M,0.30262625
ENSG00000029725,RABEP1,0.8416194
ENSG00000029993,HMGB3,0.8851497
ENSG00000030066,NUP160,0.6713984
ENSG00000030110,BAK1,0.34134543
ENSG00000030304,MUSK,0.50441587
ENSG00000030419,IKZF2,0.8583411
ENSG00000030582,GRN,0.6456777
ENSG00000031003,FAM13B,0.75836116
ENSG00000031081,ARHGAP31,0.8760981
ENSG00000031691,CENPQ,0.19478297
ENSG00000031698,SARS,0.90182674
ENSG00000031823,RANBP3,0.92063206
ENSG00000032219,ARID4A,0.92411435
ENSG00000032389,TSSC1,0.66314733
ENSG00000032444,PNPLA6,0.57906127
ENSG00000032742,IFT88,0.44060218
ENSG00000033011,ALG1,0.2248745
ENSG00000033030,ZCCHC8,0.8002796
ENSG00000033050,ABCF2,0.70126325
ENSG00000033100,CHPF2,0.17800438
ENSG00000033122,LRRC7,0.90102434
ENSG00000033170,FUT8,0.7423631
ENSG00000033178,UBA6,0.57180876
ENSG00000033327,GAB2,0.79283315
ENSG00000033627,ATP6V0A1,0.85145664
ENSG00000033800,PIAS1,0.965858
ENSG00000033867,SLC4A7,0.77872473
ENSG00000034053,APBA2,0.7985766
ENSG00000034152,MAP2K3,0.74882555
ENSG00000034239,EFCAB1,0.22806585
ENSG00000034510,TMSB10,0.6942409
ENSG00000034533,ASTE1,0.27966785
ENSG00000034677,RNF19A,0.7746632
ENSG00000034693,PEX3,0.6488374
ENSG00000034713,GABARAPL2,0.629357
ENSG00000034971,MYOC,0.26021314
ENSG00000035115,SH3YL1,0.28130412
ENSG00000035141,FAM136A,0.28675735
ENSG00000035403,VCL,0.76523936
ENSG00000035499,DEPDC1B,0.373937
ENSG00000035664,DAPK2,0.25343955
ENSG00000035681,NSMAF,0.48336196
ENSG00000035687,ADSS,0.7793174
ENSG00000035720,STAP1,0.28302956
ENSG00000035862,TIMP2,0.8519933
ENSG00000035928,RFC1,0.7871343
ENSG00000036054,TBC1D23,0.6047234
ENSG00000036257,CUL3,0.9124948
ENSG00000036448,MYOM2,0.02197671
ENSG00000036473,OTC,0.8204366
ENSG00000036530,CYP46A1,0.8326637
ENSG00000036549,ZZZ3,0.9050895
ENSG00000036565,SLC18A1,0.07960057
ENSG00000036672,USP2,0.64753526
ENSG00000036828,CASR,0.69822824
ENSG00000037042,TUBG2,0.61192393
ENSG00000037241,RPL26L1,0.51797444
ENSG00000037280,FLT4,0.9099349
ENSG00000037474,NSUN2,0.6302484
ENSG00000037637,FBXO42,0.85069966
ENSG00000037749,MFAP3,0.39327186
ENSG00000037757,MRI1,0.270581
ENSG00000037897,METTL1,0.4150619
ENSG00000037965,HOXC8,0.79435474
ENSG00000038002,AGA,0.259297
ENSG00000038210,PI4K2B,0.4179694
ENSG00000038219,BOD1L1,0.8127448
ENSG00000038274,MAT2B,0.7020416
ENSG00000038295,TLL1,0.7544949
ENSG00000038358,EDC4,0.76665837
ENSG00000038382,TRIO,0.90693986
ENSG00000038427,VCAN,0.8548479
ENSG00000038532,CLEC16A,0.76004696
ENSG00000038945,MSR1,0.101870894
ENSG00000039068,CDH1,0.7320614
ENSG00000039123,SKIV2L2,0.7764715
ENSG00000039139,DNAH5,0.37534338
ENSG00000039319,ZFYVE16,0.47568703
ENSG00000039523,FAM65A,0.7845667
ENSG00000039537,C6,0.22466701
ENSG00000039560,RAI14,0.78817064
ENSG00000039600,SOX30,0.85492086
ENSG00000039650,PNKP,0.22189921
ENSG00000039987,BEST2,0.197079
ENSG00000040199,PHLPP2,0.6252857
ENSG00000040275,SPDL1,0.20145035
ENSG00000040341,STAU2,0.8298971
ENSG00000040487,PQLC2,0.4300573
ENSG00000040531,CTNS,0.39332843
ENSG00000040608,RTN4R,0.87224567
ENSG00000040633,PHF23,0.9494577
ENSG00000040731,CDH10,0.7681551
ENSG00000040933,INPP4A,0.8465272
ENSG00000041353,RAB27B,0.5131407
ENSG00000041357,PSMA4,0.8366987
ENSG00000041515,MYO16,0.78802687
ENSG00000041802,LSG1,0.29945523
ENSG00000041880,PARP3,0.18277764
ENSG00000041982,TNC,0.64906996
ENSG00000041988,THAP3,0.3926773
ENSG00000042062,FAM65C,0.20438433
ENSG00000042088,TDP1,0.25020325
ENSG00000042286,AIFM2,0.2505679
ENSG00000042304,C2orf83,0.076807916
ENSG00000042317,SPATA7,0.2142297
ENSG00000042429,MED17,0.5106392
ENSG00000042445,RETSAT,0.17923474
ENSG00000042493,CAPG,0.18327236
ENSG00000042753,AP2S1,0.92837995
ENSG00000042781,USH2A,0.22960925
ENSG00000042813,ZPBP,0.43237805
ENSG00000042832,TG,0.2070201
ENSG00000042980,ADAM28,0.10681951
ENSG00000043039,BARX2,0.6129066
ENSG00000043093,DCUN1D1,0.8789902
ENSG00000043143,JADE2,0.93471664
ENSG00000043355,ZIC2,0.9406704
ENSG00000043462,LCP2,0.80056894
ENSG00000043514,TRIT1,0.28869718
ENSG00000043591,ADRB1,0.4475364
ENSG00000044012,GUCA2B,0.26693988
ENSG00000044090,CUL7,0.43287516
ENSG00000044115,CTNNA1,0.83680654
ENSG00000044446,PHKA2,0.7688827
ENSG00000044459,CNTLN,0.1090377
ENSG00000044524,EPHA3,0.6402155
ENSG00000044574,HSPA5,0.8721793
ENSG00000046604,DSG2,0.39969397
ENSG00000046647,GEMIN8,0.8764645
ENSG00000046651,OFD1,0.7952037
ENSG00000046653,GPM6B,0.73915344
ENSG00000046889,PREX2,0.5335121
ENSG00000047056,WDR37,0.78611463
ENSG00000047188,YTHDC2,0.8902997
ENSG00000047230,CTPS2,0.8331802
ENSG00000047249,ATP6V1H,0.6217249
ENSG00000047315,POLR2B,0.8304601
ENSG00000047346,FAM214A,0.77268493
ENSG00000047365,ARAP2,0.5325706
ENSG00000047410,TPR,0.9256448
ENSG00000047457,CP,0.48575342
ENSG00000047578,KIAA0556,0.2324534
ENSG00000047579,DTNBP1,0.37413454
ENSG00000047597,XK,0.87404096
ENSG00000047617,ANO2,0.30758357
ENSG00000047621,C12orf4,0.5556736
ENSG00000047634,SCML1,0.91909236
ENSG00000047644,WWC3,0.895632
ENSG00000047648,ARHGAP6,0.8791456
ENSG00000047662,FAM184B,0.30581963
ENSG00000047849,MAP4,0.7678963
ENSG00000047932,GOPC,0.64444983
ENSG00000047936,ROS1,0.0658921
ENSG00000048028,USP28,0.5261404
ENSG00000048052,HDAC9,0.8385726
ENSG00000048140,TSPAN17,0.34858608
ENSG00000048162,NOP16,0.34748662
ENSG00000048342,CC2D2A,0.34537888
ENSG00000048392,RRM2B,0.6293365
ENSG00000048405,ZNF800,0.923334
ENSG00000048462,TNFRSF17,0.15513289
ENSG00000048471,SNX29,0.4688145
ENSG00000048540,LMO3,0.86375296
ENSG00000048544,MRPS10,0.16750121
ENSG00000048545,GUCA1A,0.22440517
ENSG00000048649,RSF1,0.981402
ENSG00000048707,VPS13D,0.72385263
ENSG00000048740,CELF2,0.95381427
ENSG00000048828,FAM120A,0.9122005
ENSG00000048991,R3HDM1,0.77587336
ENSG00000049089,COL9A2,0.5543896
ENSG00000049130,KITLG,0.7946849
ENSG00000049167,ERCC8,0.21715808
ENSG00000049192,ADAMTS6,0.85982615
ENSG00000049239,H6PD,0.2825396
ENSG00000049245,VAMP3,0.4476121
ENSG00000049246,PER3,0.2957796
ENSG00000049247,UTS2,0.15467781
ENSG00000049249,TNFRSF9,0.40452307
ENSG00000049283,EPN3,0.11684227
ENSG00000049323,LTBP1,0.6280084
ENSG00000049449,RCN1,0.48620683
ENSG00000049540,ELN,0.37891597
ENSG00000049541,RFC2,0.4705094
ENSG00000049618,ARID1B,0.94985336
ENSG00000049656,CLPTM1L,0.5894679
ENSG00000049759,NEDD4L,0.88072956
ENSG00000049768,FOXP3,0.9278445
ENSG00000049769,PPP1R3F,0.18261415
ENSG00000049860,HEXB,0.33777475
ENSG00000049883,PTCD2,0.21851546
ENSG00000050030,KIAA2022,0.9063802
ENSG00000050130,JKAMP,0.767468
ENSG00000050165,DKK3,0.41045272
